Millions of Operations,Failure Mode
1.151,Spring B
1.17,Spring B
1.248,Spring B
1.331,Spring B
1.381,Spring B
1.499,Spring A
1.508,Spring B
1.534,Spring B
1.577,Spring B
1.584,Spring B
1.667,Spring A
1.695,Spring A
1.71,Spring A
1.955,Spring B
1.965,Spring A
2.012,Spring B
2.051,Spring B
2.076,Spring B
2.109,Spring A
2.883,Censored
2.883,Censored
3.793,Censored
2.116,Spring B
2.119,Spring B
2.135,Spring A
2.197,Spring A
2.199,Spring B
2.227,Spring A
2.25,Spring B
2.254,Spring A
2.261,Spring B
2.349,Spring B
2.369,Spring A
2.547,Spring A
2.548,Spring A
2.738,Spring B
2.794,Spring A
2.91,Spring A
3.015,Spring A
3.017,Spring A
