Data Source,Censoring Indicator,Count,Days,Failure Mode
Field,Failed,1,181,Wear
Field,Censored,1,95,Censored
Field,Censored,1,504,Censored
Field,Censored,1,588,Censored
Field,Censored,1,386,Censored
Field,Censored,1,487,Censored
Field,Failed,1,278,Wear
Field,Censored,1,656,Censored
Field,Censored,1,404,Censored
Field,Failed,1,493,Wear
Field,Failed,1,223,Wear
Field,Censored,1,321,Censored
Field,Failed,1,269,Wear
Field,Censored,1,385,Censored
Field,Censored,1,439,Censored
Field,Failed,1,220,Wear
Field,Failed,1,282,Wear
Field,Censored,1,29,Censored
Field,Failed,1,640,Wear
Field,Failed,1,462,Wear
Field,Failed,1,250,Wear
Field,Failed,1,388,Wear
Field,Failed,1,417,Wear
Field,Failed,1,353,Wear
Field,Failed,1,583,Wear
Field,Censored,1,390,Censored
Field,Failed,1,177,Wear
Field,Failed,1,575,Wear
Field,Failed,1,474,Wear
Field,Failed,1,225,Wear
Field,Censored,1,584,Censored
Field,Failed,1,429,Wear
Field,Censored,1,474,Censored
Field,Censored,1,582,Censored
Field,Censored,1,176,Censored
Field,Censored,1,430,Censored
Field,Censored,1,577,Censored
Field,Failed,1,501,Wear
Field,Failed,1,224,Wear
Field,Failed,1,136,Wear
Field,Censored,1,376,Censored
Field,Failed,1,127,Wear
Field,Censored,1,377,Censored
Field,Failed,1,458,Wear
Field,Failed,1,274,Wear
Field,Censored,1,417,Censored
Field,Failed,1,177,Wear
Field,Censored,1,318,Censored
Field,Censored,1,265,Censored
Field,Failed,1,387,Wear
Field,Failed,1,427,Wear
Field,Failed,1,588,Cracked
Field,Failed,1,307,Wear
Field,Failed,1,253,Wear
Field,Failed,1,570,Wear
Field,Censored,1,54,Censored
Field,Failed,1,166,Wear
Field,Failed,1,266,Cracked
Field,Censored,1,568,Censored
Field,Failed,1,318,Wear
Field,Failed,1,510,Wear
Field,Failed,1,417,Wear
Field,Failed,1,302,Wear
Field,Failed,1,570,Cracked
Field,Censored,10,728,Censored
Field,Censored,12,727,Censored
Field,Censored,11,725,Censored
Field,Censored,5,715,Censored
Field,Censored,19,710,Censored
Field,Censored,49,692,Censored
