Hours,Censoring Indicator,Truncation Hours,Truncation Indicator
15211,Failed,9369,Left
10110,Right,9541,Left
21692,Failed,9314,Left
21749,Right,9647,Left
11550,Right,9,Left
21530,Right,9587,Left
21978,Right,9524,Left
21977,Failed,9524,Left
22671,Right,9743,Left
13470,Right,10326,Left
21524,Right,9586,Left
18270,Right,9773,Left
17850,Failed,8853,Left
15416,Failed,9525,Left
14383,Failed,9365,Left
23749,Right,10303,Left
14749,Failed,8849,Left
17774,Failed,7485,Left
19863,Right,7485,Left
18273,Right,9777,Left
11921,Failed,9545,Left
22820,Right,9746,Left
21976,Failed,9524,Left
20362,Failed,9469,Left
15536,Failed,9545,Left
11391,Failed,9746,Left
18263,Right,9767,Left
14310,Failed,9469,Left
16390,Failed,10326,Left
20112,Failed,8910,Left
23252,Right,10270,Left
22549,Failed,9469,Left
17316,Failed,9117,Left
21447,Failed,9707,Left
21975,Failed,9524,Left
18263,Failed,8336,Left
22603,Failed,10325,Left
14595,Failed,9707,Left
18276,Right,9778,Left
15388,Failed,9546,Left
18459,Right,9528,Left
24742,Right,9468,Left
18267,Right,9771,Left
18541,Failed,10315,Left
21690,Failed,9314,Left
18260,Failed,9315,Left
19861,Right,7484,Left
21743,Right,9369,Left
20818,Right,20698,Left
18277,Failed,9780,Left
18323,Failed,7002,Left
20800,Failed,9745,Left
17971,Failed,9746,Left
21528,Right,9587,Left
18267,Right,9770,Left
19899,Failed,9347,Left
21976,Failed,9524,Left
21523,Right,9585,Left
22197,Failed,9387,Left
21743,Right,9369,Left
12512,Right,9367,Left
22820,Failed,9746,Left
12690,Right,9545,Left
22668,Failed,9545,Left
23258,Failed,10276,Left
21317,Failed,8338,Left
17745,Failed,9546,Left
20803,Failed,9470,Left
18268,Right,9770,Left
15606,Failed,9546,Left
16490,Failed,9587,Left
21809,Right,9708,Left
24743,Right,9470,Left
22509,Failed,10276,Left
12042,Failed,9344,Left
14841,Failed,8849,Left
1938,Failed,8,Left
17344,Failed,9525,Left
15319,Failed,9583,Left
18532,Failed,10303,Left
19253,Failed,7880,Left
16808,Right,9535,Left
22559,Failed,10327,Left
12608,Right,9469,Left
20590,Right,7465,Left
14766,Failed,9709,Left
14496,Failed,9708,Left
21100,Failed,9347,Left
23748,Right,10302,Left
18273,Right,9778,Left
19193,Failed,9743,Left
9866,Failed,185,Left
22675,Failed,9743,Left
20583,Failed,8852,Left
18263,Right,9766,Left
12689,Right,9545,Left
17281,Failed,8338,Left
21530,Right,9588,Left
