Batch,Years Lower,Years Upper,Count,Result,Censoring Indicator
14,2.5,,75,Pass,Right
14,2.6,,28,Pass,Right
14,2.7,,38,Pass,Right
14,,2.7,1,Fail,Left
14,2.9,,39,Pass,Right
14,,2.9,1,Fail,Left
14,3.1,,12,Pass,Right
14,3.2,,20,Pass,Right
14,3.3,,16,Pass,Right
14,3.4,,3,Pass,Right
14,3.5,,38,Pass,Right
14,3.6,,18,Pass,Right
14,3.7,,4,Pass,Right
14,3.8,,47,Pass,Right
14,3.9,,21,Pass,Right
14,4.5,,3,Pass,Right
14,4.6,,17,Pass,Right
14,4.7,,6,Pass,Right
14,4.9,,22,Pass,Right
14,5.2,,28,Pass,Right
14,5.3,,12,Pass,Right
14,5.5,,4,Pass,Right
14,5.8,,20,Pass,Right
14,6,,6,Pass,Right
13,4.2,,27,Pass,Right
13,4.4,,13,Pass,Right
13,4.6,,2,Pass,Right
13,4.8,,25,Pass,Right
13,5,,32,Pass,Right
13,5.1,,11,Pass,Right
13,5.2,,33,Pass,Right
13,5.3,,8,Pass,Right
13,5.4,,4,Pass,Right
13,5.6,,12,Pass,Right
13,5.7,,28,Pass,Right
13,5.8,,10,Pass,Right
13,5.9,,25,Pass,Right
13,6,,28,Pass,Right
13,6.1,,10,Pass,Right
13,6.2,,28,Pass,Right
13,,6.2,1,Fail,Left
13,6.3,,37,Pass,Right
13,6.4,,4,Pass,Right
13,6.5,,14,Pass,Right
13,6.6,,6,Pass,Right
13,6.9,,18,Pass,Right
13,7,,5,Pass,Right
13,7.1,,4,Pass,Right
13,7.5,,2,Pass,Right
13,7.6,,2,Pass,Right
13,7.7,,2,Pass,Right
12,5.5,,6,Pass,Right
12,5.7,,4,Pass,Right
12,5.9,,2,Pass,Right
12,6.1,,35,Pass,Right
12,6.4,,20,Pass,Right
12,6.7,,10,Pass,Right
12,6.8,,21,Pass,Right
12,,6.8,1,Fail,Left
12,6.9,,2,Pass,Right
12,7.2,,40,Pass,Right
12,,7.2,1,Fail,Left
12,7.3,,27,Pass,Right
12,,7.3,1,Fail,Left
12,7.4,,19,Pass,Right
12,,7.4,1,Fail,Left
12,7.5,,17,Pass,Right
12,,7.5,3,Fail,Left
12,7.6,,15,Pass,Right
12,,7.6,1,Fail,Left
12,7.8,,6,Pass,Right
11,6.5,,7,Pass,Right
12,8.2,,6,Pass,Right
12,8.3,,8,Pass,Right
12,,8.3,1,Fail,Left
12,8.4,,8,Pass,Right
12,8.5,,2,Pass,Right
12,8.8,,4,Pass,Right
11,8.4,,4,Pass,Right
11,8.5,,4,Pass,Right
11,9.8,,4,Pass,Right
11,,9.8,1,Fail,Left
11,9.9,,2,Pass,Right
10,8.2,,0,Pass,Right
10,,8.2,2,Fail,Left
10,8.9,,2,Pass,Right
9,8.9,,1,Pass,Right
9,9.4,,7,Pass,Right
9,10.1,,2,Pass,Right
8,9.6,,5,Pass,Right
7,8.9,,0,Pass,Right
7,,8.9,1,Fail,Left
6,9.2,,1,Pass,Right
6,,9.2,1,Fail,Left
7,9.3,,2,Pass,Right
6,9.4,,1,Pass,Right
6,,9.4,1,Fail,Left
6,9.6,,7,Pass,Right
6,,9.6,5,Fail,Left
5,9.6,,2,Pass,Right
7,9.6,,2,Pass,Right
7,9.7,,1,Pass,Right
7,10,,12,Pass,Right
7,,10,2,Fail,Left
7,10.2,,11,Pass,Right
7,10.4,,18,Pass,Right
