Months,Censoring Indicator,Count
29,Fail,1
30,Fail,3
31,Fail,2
32,Fail,2
35,Fail,2
36,Fail,1
37,Fail,3
44,Fail,1
45,Fail,1
52,Fail,1
30,Right,43981
31,Right,43872
32,Right,43909
33,Right,44140
34,Right,44016
35,Right,44014
36,Right,44041
37,Right,43949
38,Right,44146
39,Right,43963
40,Right,44155
41,Right,44099
42,Right,43829
43,Right,44070
44,Right,43862
45,Right,44132
46,Right,44056
47,Right,44026
48,Right,44035
49,Right,44012
50,Right,44153
51,Right,44123
52,Right,43989
53,Right,44047
54,Right,44047
55,Right,44020
56,Right,44149
57,Right,44119
58,Right,43825
59,Right,44002
60,Right,44012
61,Right,43752
62,Right,43817
63,Right,43984
64,Right,43979
65,Right,44116
66,Right,3122
67,Right,2467
68,Right,1034
69,Right,502
