Days,Censoring Indicator,Count
50,Survived,1
66,Survived,3
74,Survived,2
74,Survived,1
74,Survived,1
83,Survived,2
119,Failed,1
154,Failed,1
172,Failed,1
200,Failed,2
201,Failed,1
222,Failed,2
228,Failed,2
259,Survived,12
259,Survived,12
260,Failed,1
274,Failed,1
324,Survived,12
340,Survived,12
340,Survived,12
350,Survived,12
363,Survived,12
363,Survived,12
423,Survived,12
424,Survived,12
440,Survived,12
441,Survived,12
441,Survived,12
445,Survived,12
449,Survived,8
450,Survived,12
450,Survived,12
450,Survived,12
462,Survived,12
462,Survived,12
466,Survived,10
467,Survived,12
467,Survived,12
467,Survived,12
489,Survived,12
502,Survived,12
552,Survived,8
558,Survived,1
606,Survived,12
621,Survived,12
641,Survived,12
643,Survived,12
655,Survived,12
670,Survived,12
672,Survived,12
672,Survived,12
682,Survived,12
689,Survived,12
689,Survived,12
698,Survived,12
703,Survived,12
724,Survived,12
724,Survived,12
737,Survived,11
745,Survived,12
752,Survived,12
768,Survived,12
784,Survived,12
788,Survived,12
803,Survived,12
815,Survived,12
825,Survived,12
849,Survived,12
858,Survived,12
858,Survived,12
860,Survived,12
929,Survived,12
937,Survived,12
944,Survived,12
