Failure Mode,Weeks
Censored,23.7
Censored,21.51
Censored,38.74
Censored,47.79
Censored,40.08
Censored,41.79
Censored,41.7
Censored,46.84
Censored,38.84
Mode A,22.65
Censored,42.36
Mode A,17.32
Mode A,18.56
Censored,36.36
Censored,31.51
Censored,40.93
Censored,42.46
Censored,39.79
Other,3.13
Mode A,38.55
Censored,49.03
Censored,46.17
Censored,39.22
Censored,49.22
Censored,9.41
Mode A,42.65
Other,3.22
Censored,42.27
Censored,39.7
Censored,38.74
Censored,41.6
Censored,39.89
Other,3.61
Censored,23.89
Censored,49.51
Other,4.18
Censored,39.79
Censored,40.17
Censored,41.41
Other,5.8
Censored,39.89
Censored,43.6
Censored,40.08
Censored,44.93
Mode B,21.41
Mode B,11.99
Mode B,9.41
Mode A,36.36
Mode B,31.22
Censored,39.98
Censored,29.7
Censored,40.46
Censored,39.7
Censored,40.93
Censored,39.98
Censored,42.55
Censored,49.98
Censored,23.7
Censored,43.22
Censored,26.56
Other,6.65
Censored,23.89
Other,6.94
Censored,38.74
Censored,39.89
Other,7.7
Censored,39.79
Censored,37.22
Censored,49.51
Censored,21.51
Censored,38.93
Censored,23.89
Censored,40.36
Censored,48.84
Censored,49.22
Censored,48.84
Censored,43.41
Censored,22.37
Censored,39.79
Censored,40.27
Mode B,33.03
Censored,39.7
Censored,35.79
Censored,40.55
Censored,40.08
Censored,41.22
Censored,41.22
Censored,49.22
Other,7.8
Censored,36.36
Censored,47.79
Censored,38.84
Censored,39.41
Censored,39.32
Other,8.27
Censored,39.7
Censored,39.89
Censored,43.79
Censored,21.03
Censored,38.93
Censored,47.51
Censored,49.51
Censored,38.74
Other,9.22
Censored,49.12
Censored,40.84
Censored,49.12
Censored,36.36
Censored,45.6
Censored,39.98
Censored,38.84
Censored,38.93
Censored,39.98
Censored,41.7
Censored,41.03
Censored,45.6
Censored,40.27
Censored,40.17
Censored,42.93
Censored,23.89
Censored,47.6
Censored,41.79
Censored,39.03
Censored,32.46
Censored,39.51
Censored,39.7
Censored,37.7
Censored,48.84
Censored,42.46
Censored,49.03
Censored,40.46
Censored,40.55
Censored,41.7
Censored,39.79
Censored,39.89
Censored,39.51
Censored,35.79
Censored,38.93
Censored,42.93
Censored,37.7
Censored,39.22
Censored,36.36
Censored,39.79
Censored,41.89
Censored,45.7
Censored,39.51
Censored,29.6
Censored,40.36
Censored,36.36
Censored,47.6
Censored,39.79
Censored,49.6
Censored,38.93
Censored,21.03
Censored,16.56
Censored,40.27
Censored,41.7
Censored,39.7
Censored,36.36
Censored,39.03
Censored,42.36
Censored,46.17
Censored,42.08
Censored,38.93
Censored,39.98
Censored,38.84
Censored,29.6
Censored,49.22
Censored,45.98
Censored,40.84
Censored,39.89
Censored,42.27
Censored,48.84
Other,10.37
Censored,43.89
Censored,45.98
Censored,38.74
Censored,48.65
Censored,17.79
Censored,21.22
Censored,41.22
Censored,38.46
Censored,39.22
Censored,46.17
Censored,29.6
Censored,42.17
Censored,42.46
Censored,49.22
Censored,45.7
Censored,25.79
Censored,49.22
Censored,39.13
Other,10.46
Censored,39.98
Censored,40.84
Censored,39.79
Censored,41.79
Censored,39.32
Censored,41.03
Censored,49.98
Censored,46.84
Censored,41.79
Censored,40.17
Censored,39.98
Censored,41.03
Censored,40.93
Censored,46.08
Censored,40.93
Censored,40.27
Censored,19.22
Censored,40.17
Censored,40.93
Censored,36.36
Censored,39.22
Censored,46.17
Censored,38.93
Censored,38.74
Censored,38.74
Censored,38.55
Censored,38.74
Censored,39.7
Censored,26.17
Censored,40.27
Censored,42.93
Other,10.75
Censored,38.74
Censored,48.84
Censored,41.79
Censored,38.93
Mode B,35.7
Censored,42.27
Censored,40.36
Censored,48.84
Censored,39.89
Censored,39.98
Censored,41.79
Censored,17.79
Other,10.94
Censored,36.27
Censored,39.98
Censored,49.22
Censored,49.98
Censored,39.89
Censored,40.27
Censored,41.79
Censored,41.79
Other,11.7
Censored,42.93
Censored,40.93
Censored,23.89
Censored,39.98
Censored,38.74
Other,12.94
Censored,42.08
Censored,38.74
Mode A,41.41
Mode A,36.27
Censored,39.7
Mode A,37.98
Censored,39.41
Censored,48.27
Censored,39.22
Mode A,37.98
Censored,38.55
Censored,39.98
Other,14.27
Censored,43.6
Mode A,16.75
Mode A,23.51
Mode A,43.79
Censored,41.79
Mode A,39.22
Mode A,38.74
Censored,33.6
Mode A,33.32
Censored,47.6
Censored,40.27
Censored,39.98
Censored,28.84
Censored,39.79
Censored,39.7
Censored,40.27
Censored,39.7
Censored,40.27
Censored,40.65
Censored,39.13
Mode B,34.17
Other,14.37
Censored,40.93
Mode A,11.79
Censored,40.36
Censored,23.89
Mode A,13.03
Censored,46.84
Mode A,41.6
Censored,33.7
Censored,38.93
Censored,39.98
Censored,48.84
Censored,38.74
Censored,23.7
Censored,39.03
Censored,39.79
Censored,49.22
Censored,39.89
Censored,38.84
Censored,40.27
Censored,39.89
Censored,49.6
Censored,39.22
Censored,38.74
Mode A,33.22
Censored,40.27
Censored,45.03
Censored,39.03
Mode A,32.27
Censored,38.55
Censored,39.89
Mode A,39.79
Censored,39.98
Censored,41.79
Censored,39.79
Censored,37.7
Censored,48.93
Censored,41.7
Mode A,26.56
Censored,40.93
Censored,40.65
Censored,39.98
Mode A,19.22
Censored,43.03
Mode A,29.32
Censored,38.93
Mode B,32.46
Censored,39.98
Censored,38.46
Censored,40.17
Censored,39.79
Censored,39.03
Censored,40.08
Censored,43.7
Mode A,33.13
Censored,43.41
Censored,48.84
Censored,23.79
Other,15.79
Censored,40.08
Censored,35.79
Censored,39.7
Mode A,46.08
Other,15.98
Mode A,17.7
Mode A,13.13
Censored,43.32
Censored,40.27
Censored,29.7
Mode A,17.22
Censored,39.98
Mode A,45.98
Censored,47.51
Censored,47.6
Censored,38.74
Censored,41.79
Censored,45.7
Mode A,37.98
Censored,17.98
Censored,41.6
Censored,39.51
Mode A,35.41
Mode A,36.27
Censored,39.79
Censored,39.98
Censored,38.74
Censored,48.84
Censored,40.93
Censored,39.13
Censored,40.08
Mode A,38.93
Mode A,31.41
Censored,40.65
Censored,42.93
Censored,39.89
Mode A,34.84
Mode A,15.98
Censored,40.17
Censored,40.93
Mode A,38.84
Censored,38.93
Censored,39.7
Censored,39.89
Censored,47.7
Censored,39.89
Mode A,35.6
Censored,39.98
Censored,39.03
Censored,42.17
Censored,47.79
Censored,45.89
Mode A,48.27
Censored,39.7
Censored,47.51
Censored,39.98
Censored,39.79
Censored,48.93
Censored,36.36
Censored,41.13
Censored,37.7
Censored,39.98
Censored,42.36
Censored,38.74
Mode A,26.46
Censored,41.03
Censored,49.12
Censored,43.6
Censored,39.98
Mode A,32.08
Censored,41.79
Mode A,34.27
Censored,39.98
Censored,39.13
Other,18.08
Censored,43.6
Censored,41.03
Censored,42.55
Censored,20.94
Censored,23.89
Censored,45.6
Censored,17.7
Mode A,11.32
Mode A,38.84
Censored,39.89
Censored,13.79
Censored,39.98
Censored,41.03
Censored,39.13
Censored,39.89
Censored,39.22
Mode A,44.08
Censored,40.46
Censored,39.79
Censored,47.6
Censored,41.7
Censored,39.41
Censored,48.65
Mode B,28.36
Censored,43.6
Mode A,36.36
Mode A,35.79
Censored,38.46
Mode A,21.41
Censored,29.7
Censored,42.08
Censored,19.7
Censored,39.7
Censored,49.22
Censored,38.55
Censored,49.79
Censored,36.36
Mode A,38.93
Censored,40.17
Censored,45.89
Censored,40.36
Censored,39.41
Censored,39.7
Mode A,21.79
Censored,49.51
Mode A,31.51
Censored,47.79
Censored,39.51
Censored,28.94
Mode B,7.32
Censored,39.89
Mode A,18.84
Censored,40.36
Censored,39.89
Mode B,7.89
Censored,42.46
Mode A,28.27
Censored,49.51
Censored,42.08
Censored,45.89
Censored,40.27
Mode A,32.36
Mode A,24.17
Censored,40.08
Censored,38.46
Censored,29.03
Censored,40.08
Mode B,35.51
Censored,40.27
Censored,39.7
Censored,36.36
Censored,39.98
Mode B,7.03
Censored,39.89
Mode A,25.98
Mode A,32.46
Censored,38.84
Censored,39.7
Censored,39.89
Mode A,27.98
Censored,44.55
Mode A,28.94
Censored,40.17
Mode A,33.7
Censored,39.98
Censored,39.89
Censored,15.51
Mode A,12.56
Censored,39.13
Censored,39.7
Censored,39.41
Censored,40.08
Censored,40.27
Censored,38.55
Censored,41.89
Censored,19.22
Censored,38.84
Censored,39.98
Censored,38.84
Censored,39.98
Censored,42.46
Censored,45.6
Censored,23.89
Censored,38.74
Censored,48.93
Censored,41.22
Mode A,27.79
Censored,40.17
Censored,39.22
Censored,36.36
Censored,38.93
Censored,41.79
Censored,40.55
Censored,40.08
Censored,40.36
Censored,30.55
Censored,38.55
Other,19.03
Censored,38.93
Censored,48.84
Other,19.22
Mode A,28.55
Censored,40.08
Censored,17.98
Censored,43.98
Censored,39.89
Censored,39.51
Censored,36.36
Mode A,38.46
Censored,38.93
Other,20.56
Censored,39.89
Censored,39.03
Censored,39.89
Censored,40.36
Censored,39.51
Censored,39.79
Mode A,30.27
Mode B,29.79
Mode A,30.36
Censored,40.17
Censored,28.94
Censored,39.51
Censored,39.89
Mode A,35.6
Censored,45.89
Censored,41.79
Censored,42.55
Censored,40.08
Censored,39.79
Censored,49.12
Censored,40.27
Censored,39.03
Censored,48.65
Censored,37.7
Censored,49.12
Censored,48.84
Mode A,23.98
Censored,39.89
Censored,41.7
Censored,39.7
Mode B,46.46
Censored,39.89
Censored,42.17
Censored,39.98
Other,21.7
Censored,39.98
Censored,48.84
Censored,39.98
Censored,39.98
Censored,43.51
Censored,46.17
Censored,40.93
Censored,33.7
Censored,23.89
Censored,41.79
Censored,49.51
Censored,43.6
Censored,39.7
Censored,23.79
Censored,39.98
Censored,41.79
Other,22.17
Censored,39.7
Censored,40.27
Censored,41.79
Censored,39.22
Censored,42.17
Censored,40.08
Censored,49.03
Censored,39.41
Censored,39.98
Censored,42.93
Censored,43.41
Censored,43.22
Censored,36.36
Censored,41.7
Censored,40.08
Mode B,25.13
Censored,40.17
Censored,42.17
Censored,39.7
Censored,13.22
Censored,41.51
Censored,40.17
Censored,41.03
Censored,48.84
Censored,39.7
Censored,40.08
Censored,38.55
Censored,39.98
Censored,39.98
Censored,39.51
Censored,36.94
Censored,41.03
Mode B,23.03
Censored,38.93
Censored,21.51
Censored,38.93
Censored,38.74
Censored,41.79
Other,24.75
Other,25.03
Censored,40.46
Censored,38.36
Censored,39.22
Censored,40.17
Censored,39.7
Censored,40.27
Censored,41.13
Other,25.51
Censored,15.7
Censored,39.89
Censored,39.13
Censored,39.41
Censored,39.7
Other,25.6
Censored,40.55
Censored,41.79
Censored,39.32
Censored,35.41
Censored,45.89
Censored,40.93
Censored,41.22
Censored,43.51
Mode B,15.51
Mode B,34.84
Other,25.6
Mode B,18.56
Censored,42.93
Censored,38.74
Censored,38.93
Censored,41.03
Censored,22.37
Censored,21.6
Censored,42.08
Censored,39.98
Censored,41.03
Censored,41.03
Censored,48.65
Censored,39.79
Censored,42.93
Censored,21.13
Censored,39.98
Censored,40.46
Censored,40.17
Censored,41.22
Censored,39.89
Censored,42.27
Censored,38.84
Censored,41.22
Mode A,24.36
Censored,39.41
Censored,23.89
Censored,33.51
Censored,38.84
Censored,40.08
Censored,29.7
Censored,27.89
Censored,40.08
Censored,49.03
Censored,39.32
Censored,40.55
Censored,47.6
Censored,40.46
Mode A,34.27
Mode A,34.36
Censored,21.51
Censored,39.98
Censored,38.93
Censored,46.84
Censored,38.55
Censored,43.51
Mode A,7.03
Censored,39.13
Censored,20.94
Censored,39.98
Censored,42.08
Censored,22.56
Censored,39.98
Censored,42.46
Censored,38.74
Censored,39.41
Censored,40.17
Mode A,25.98
Censored,29.6
Mode A,29.32
Censored,22.37
Censored,39.98
Censored,39.79
Censored,36.36
Censored,38.84
Censored,40.08
Mode A,21.41
Censored,45.89
Censored,36.27
Censored,48.93
Censored,39.22
Mode A,21.13
Censored,49.22
Censored,39.98
Censored,49.03
Other,27.51
Censored,39.98
