DegreesC,Weeks,Newtons,Censoring Indicator
50,0,70.1,Exact
50,0,76.7,Exact
50,0,84.5,Exact
50,0,88,Exact
50,0,88.9,Exact
50,0,90.4,Exact
50,0,91.9,Exact
50,0,98.1,Exact
60,0,70.1,Exact
60,0,76.7,Exact
60,0,84.5,Exact
60,0,88,Exact
60,0,88.9,Exact
60,0,90.4,Exact
60,0,91.9,Exact
60,0,98.1,Exact
70,0,70.1,Exact
70,0,76.7,Exact
70,0,84.5,Exact
70,0,88,Exact
70,0,88.9,Exact
70,0,90.4,Exact
70,0,91.9,Exact
70,0,98.1,Exact
50,2,77.8,Exact
50,2,78.4,Exact
50,2,78.8,Exact
50,2,80.5,Exact
50,2,81.7,Exact
50,2,83.3,Exact
50,2,84.2,Exact
50,2,89.2,Exact
60,2,51.7,Exact
60,2,61.5,Exact
60,2,69.9,Exact
60,2,73.7,Exact
60,2,76.8,Exact
60,2,87.1,Exact
70,2,28.3,Right
70,2,35.8,Exact
70,2,44.1,Exact
70,2,45.2,Exact
70,2,45.7,Exact
70,2,59.6,Exact
70,4,32.3,Exact
70,4,35.3,Exact
70,4,37.9,Exact
70,4,38.6,Exact
70,4,39.4,Exact
70,4,46.9,Exact
50,6,62.7,Exact
50,6,65.7,Exact
50,6,66.3,Exact
50,6,67.7,Exact
50,6,67.8,Exact
50,6,68.8,Exact
50,6,72.6,Exact
50,6,74.1,Exact
60,6,29.8,Right
60,6,43.2,Exact
60,6,54.4,Exact
60,6,56.7,Exact
60,6,59.2,Exact
60,6,77.1,Exact
70,6,28,Exact
70,6,29.2,Exact
70,6,32.5,Exact
70,6,32.7,Exact
50,12,35.7,Right
50,12,45.5,Exact
50,12,54.3,Exact
50,12,54.6,Exact
50,12,61.4,Exact
50,12,62.5,Exact
50,12,73.8,Exact
50,12,75.9,Exact
60,12,17.2,Right
60,12,34.3,Exact
60,12,38.4,Exact
60,12,39.2,Exact
60,12,48.4,Exact
60,12,64.2,Exact
70,12,20.6,Exact
70,12,21,Exact
70,12,22.6,Exact
70,12,23.3,Exact
70,12,23.4,Exact
70,12,23.5,Exact
70,12,25.1,Exact
70,12,31.6,Exact
70,12,33,Exact
50,16,39.2,Exact
50,16,49,Exact
50,16,51.1,Exact
50,16,61.4,Exact
50,16,62,Exact
50,16,70.9,Exact
50,16,73.6,Exact
60,16,21.2,Right
60,16,23.1,Right
60,16,28.5,Exact
60,16,33.1,Exact
60,16,37.1,Exact
60,16,44.3,Exact
