Newtons,DegreesC,Weeks
87.71,40,0
84.8,40,0
84.01,40,0
93.26,40,0
88.04,40,0
96.83,40,0
97.76,40,0
80,40,0
88.48,40,0
86.15,40,0
64.94,40,3
73.32,40,3
68.66,40,3
74.32,40,3
77.21,40,3
69.11,40,3
59.22,40,6
65.12,40,6
66.6,40,6
64.02,40,6
68.64,40,6
62.91,40,6
66.22,40,12
60.46,40,12
62.41,40,12
62.87,40,12
58.03,40,12
58.93,40,12
55.65,40,18
55.5,40,18
52.95,40,18
54.29,40,18
59.76,40,18
52.9,40,18
52.27,40,24
49.74,40,24
48.81,40,24
53.87,40,24
53.12,40,24
52.29,40,24
87.71,50,0
84.8,50,0
84.01,50,0
93.26,50,0
88.04,50,0
96.83,50,0
97.76,50,0
80,50,0
88.48,50,0
86.15,50,0
51.84,50,3
54.34,50,3
51.04,50,3
53.42,50,3
54.46,50,3
51.03,50,3
51.43,50,6
45.8,50,6
45.35,50,6
49.8,50,6
52.15,50,6
43.62,50,6
44.46,50,12
41.48,50,12
42.77,50,12
43.19,50,12
43.27,50,12
44.91,50,12
38.29,50,18
37.73,50,18
41.95,50,18
40.98,50,18
41.12,50,18
39.91,50,18
36.5,50,24
41.47,50,24
38.78,50,24
36.45,50,24
38.45,50,24
38.63,50,24
87.71,60,0
84.8,60,0
84.01,60,0
93.26,60,0
88.04,60,0
96.83,60,0
97.76,60,0
80,60,0
88.48,60,0
86.15,60,0
37.44,60,3
38.53,60,3
40.21,60,3
39.76,60,3
40.81,60,3
38.08,60,3
39.12,60,6
35.87,60,6
37.09,60,6
34.11,60,6
36.34,60,6
33.61,60,6
33.3,60,12
33.37,60,12
38.06,60,12
36.31,60,12
35.86,60,12
35.38,60,12
34.42,60,12
35.96,60,12
32.66,60,12
34.39,60,18
33.21,60,18
32.06,60,18
30.94,60,18
33.26,60,18
31.8,60,18
31.58,60,18
33.54,60,18
34.11,60,18
