Byte Error Rate,Disk Number,Hours,DegreesC
0.621,1,0,80
0.663,1,500,80
1.2,1,1000,80
1.26,1,1500,80
1.21,1,2000,80
0.624,2,0,80
0.66,2,500,80
0.733,2,1000,80
1.01,2,1500,80
1.84,2,2000,80
0.526,3,0,80
0.562,3,500,80
0.63,3,1000,80
0.841,3,1500,80
0.862,3,2000,80
0.444,4,0,80
0.542,4,500,80
0.573,4,1000,80
0.815,4,1500,80
0.903,4,2000,80
1.33,5,0,80
1.43,5,500,80
1.43,5,1000,80
1.59,5,1500,80
1.75,5,2000,80
0.414,6,0,80
0.456,6,500,80
0.446,6,1000,80
0.606,6,1500,80
0.759,6,2000,80
0.435,7,0,80
0.483,7,500,80
0.541,7,1000,80
0.525,7,1500,80
0.615,7,2000,80
0.313,8,0,80
0.382,8,500,80
0.451,8,1000,80
0.515,8,1500,80
0.695,8,2000,80
0.824,9,0,80
0.637,9,500,80
0.806,9,1000,80
1.22,9,1500,80
1.45,9,2000,80
0.499,10,0,80
0.642,10,500,80
0.669,10,1000,80
1.22,10,1500,80
1.08,10,2000,80
0.467,11,0,80
0.568,11,500,80
0.69,11,1000,80
0.716,11,1500,80
0.844,11,2000,80
0.536,12,0,80
0.626,12,500,80
0.658,12,1000,80
0.759,12,1500,80
0.87,12,2000,80
0.865,13,0,80
0.934,13,500,80
1.05,13,1000,80
1.13,13,1500,80
1.25,13,2000,80
0.398,14,0,80
0.462,14,500,80
0.557,14,1000,80
0.615,14,1500,80
0.737,14,2000,80
0.43,15,0,80
0.499,15,500,80
0.546,15,1000,80
0.61,15,1500,80
0.669,15,2000,80
0.308,16,0,80
0.324,16,500,80
0.371,16,1000,80
0.493,16,1500,80
0.658,16,2000,80
