PowerDrop,Device,Hours,DegreesC
0,101,0,150
-0.01695,101,125,150
-0.02642,101,250,150
-0.03462,101,375,150
-0.04627,101,500,150
-0.05481,101,625,150
-0.06703,101,750,150
-0.08456,101,875,150
-0.10231,101,1000,150
-0.12327,101,1125,150
-0.14051,101,1250,150
-0.15923,101,1375,150
-0.17725,101,1500,150
-0.18774,101,1625,150
-0.20509,101,1750,150
-0.21936,101,1875,150
-0.23251,101,2000,150
-0.24685,101,2125,150
-0.25799,101,2250,150
-0.26883,101,2375,150
-0.2824,101,2500,150
-0.29468,101,2625,150
-0.30798,101,2750,150
-0.32745,101,2875,150
-0.33678,101,3000,150
-0.34371,101,3125,150
-0.3634,101,3250,150
-0.37668,101,3375,150
-0.388,101,3500,150
-0.39833,101,3625,150
-0.40994,101,3750,150
-0.41489,101,3875,150
-0.4214,101,4000,150
0,102,0,150
-0.01561,102,125,150
-0.0233,102,250,150
-0.02986,102,375,150
-0.04317,102,500,150
-0.05332,102,625,150
-0.05823,102,750,150
-0.07225,102,875,150
-0.08396,102,1000,150
-0.0908,102,1125,150
-0.0992,102,1250,150
-0.11297,102,1375,150
-0.12133,102,1500,150
-0.13096,102,1625,150
-0.13765,102,1750,150
-0.14532,102,1875,150
-0.15154,102,2000,150
-0.16084,102,2125,150
-0.17574,102,2250,150
-0.18293,102,2375,150
-0.19517,102,2500,150
-0.20599,102,2625,150
-0.21217,102,2750,150
-0.22548,102,2875,150
-0.23635,102,3000,150
-0.24678,102,3125,150
-0.25541,102,3250,150
-0.26515,102,3375,150
-0.28747,102,3500,150
-0.29413,102,3625,150
-0.30609,102,3750,150
-0.31385,102,3875,150
-0.33153,102,4000,150
0,103,0,150
-0.007519,103,125,150
-0.016651,103,250,150
-0.02853,103,375,150
-0.037004,103,500,150
-0.043235,103,625,150
-0.052087,103,750,150
-0.06252,103,875,150
-0.073492,103,1000,150
-0.081,103,1125,150
-0.090028,103,1250,150
-0.11229,103,1375,150
-0.120632,103,1500,150
-0.12996,103,1625,150
-0.145035,103,1750,150
-0.156301,103,1875,150
-0.165566,103,2000,150
-0.172689,103,2125,150
-0.181161,103,2250,150
-0.186464,103,2375,150
-0.197439,103,2500,150
-0.207583,103,2625,150
-0.21566,103,2750,150
-0.2229,103,2875,150
-0.229876,103,3000,150
-0.237961,103,3125,150
-0.242438,103,3250,150
-0.246376,103,3375,150
-0.255717,103,3500,150
-0.272772,103,3625,150
-0.28221,103,3750,150
-0.293093,103,3875,150
-0.300563,103,4000,150
0,104,0,150
-0.02977,104,125,150
-0.05058,104,250,150
-0.05935,104,375,150
-0.0773,104,500,150
-0.08643,104,625,150
-0.11584,104,750,150
-0.12954,104,875,150
-0.14477,104,1000,150
-0.17162,104,1125,150
-0.1905,104,1250,150
-0.19869,104,1375,150
-0.20972,104,1500,150
-0.22684,104,1625,150
-0.25256,104,1750,150
-0.26393,104,1875,150
-0.27917,104,2000,150
-0.29238,104,2125,150
-0.30194,104,2250,150
-0.32183,104,2375,150
-0.33386,104,2500,150
-0.35014,104,2625,150
-0.35843,104,2750,150
-0.36748,104,2875,150
-0.379,104,3000,150
-0.40134,104,3125,150
-0.40641,104,3250,150
-0.41682,104,3375,150
-0.42362,104,3500,150
-0.44747,104,3625,150
-0.45479,104,3750,150
-0.46434,104,3875,150
-0.47879,104,4000,150
0,105,0,150
-0.01133,105,125,150
-0.02882,105,250,150
-0.04448,105,375,150
-0.06125,105,500,150
-0.07205,105,625,150
-0.08823,105,750,150
-0.10644,105,875,150
-0.12021,105,1000,150
-0.1408,105,1125,150
-0.15125,105,1250,150
-0.17308,105,1375,150
-0.18565,105,1500,150
-0.20549,105,1625,150
-0.21706,105,1750,150
-0.24402,105,1875,150
-0.2537,105,2000,150
-0.27573,105,2125,150
-0.30081,105,2250,150
-0.31859,105,2375,150
-0.34134,105,2500,150
-0.35455,105,2625,150
-0.36516,105,2750,150
-0.38028,105,2875,150
-0.3996,105,3000,150
-0.41478,105,3125,150
-0.42832,105,3250,150
-0.43742,105,3375,150
-0.44924,105,3500,150
-0.45821,105,3625,150
-0.47681,105,3750,150
-0.4852,105,3875,150
-0.4959,105,4000,150
0,106,0,150
-0.01629,106,125,150
-0.0424,106,250,150
-0.06,106,375,150
-0.08147,106,500,150
-0.09392,106,625,150
-0.11701,106,750,150
-0.12764,106,875,150
-0.14306,106,1000,150
-0.15692,106,1125,150
-0.17502,106,1250,150
-0.18697,106,1375,150
-0.20245,106,1500,150
-0.23661,106,1625,150
-0.25017,106,1750,150
-0.2595,106,1875,150
-0.27223,106,2000,150
-0.28283,106,2125,150
-0.29943,106,2250,150
-0.31422,106,2375,150
-0.32394,106,2500,150
-0.33783,106,2625,150
-0.34818,106,2750,150
-0.37096,106,2875,150
-0.38591,106,3000,150
-0.39705,106,3125,150
-0.40667,106,3250,150
-0.42607,106,3375,150
-0.4372,106,3500,150
-0.44863,106,3625,150
-0.45839,106,3750,150
-0.47042,106,3875,150
-0.47886,106,4000,150
0,107,0,150
-0.008789,107,125,150
-0.016061,107,250,150
-0.031512,107,375,150
-0.041114,107,500,150
-0.0525,107,625,150
-0.077261,107,750,150
-0.088892,107,875,150
-0.096695,107,1000,150
-0.113813,107,1125,150
-0.121901,107,1250,150
-0.131491,107,1375,150
-0.142345,107,1500,150
-0.14783,107,1625,150
-0.170941,107,1750,150
-0.18064,107,1875,150
-0.189825,107,2000,150
-0.197581,107,2125,150
-0.206794,107,2250,150
-0.213146,107,2375,150
-0.220102,107,2500,150
-0.231253,107,2625,150
-0.240209,107,2750,150
-0.247423,107,2875,150
-0.259413,107,3000,150
-0.266891,107,3125,150
-0.279424,107,3250,150
-0.288318,107,3375,150
-0.294026,107,3500,150
-0.30582,107,3625,150
-0.312232,107,3750,150
-0.322271,107,3875,150
-0.328525,107,4000,150
0,108,0,195
-0.0774,108,125,195
-0.1731,108,250,195
-0.3039,108,375,195
-0.3949,108,500,195
-0.4888,108,625,195
-0.5274,108,750,195
-0.5719,108,875,195
-0.6326,108,1000,195
-0.6889,108,1125,195
-0.7356,108,1250,195
-0.7709,108,1375,195
-0.7954,108,1500,195
-0.8251,108,1625,195
-0.8619,108,1750,195
-0.8837,108,1875,195
-0.9092,108,2000,195
0,109,0,195
-0.1912,109,125,195
-0.344,109,250,195
-0.4449,109,375,195
-0.5101,109,500,195
-0.5926,109,625,195
-0.6596,109,750,195
-0.7348,109,875,195
-0.8034,109,1000,195
-0.8775,109,1125,195
-0.9534,109,1250,195
-0.9897,109,1375,195
-1.0346,109,1500,195
-1.0664,109,1625,195
-1.095,109,1750,195
-1.1211,109,1875,195
-1.1592,109,2000,195
0,110,0,195
-0.1029,110,125,195
-0.154,110,250,195
-0.2378,110,375,195
-0.2986,110,500,195
-0.3483,110,625,195
-0.4025,110,750,195
-0.4622,110,875,195
-0.497,110,1000,195
-0.5325,110,1125,195
-0.5866,110,1250,195
-0.6482,110,1375,195
-0.6781,110,1500,195
-0.7053,110,1625,195
-0.7977,110,1750,195
-0.8432,110,1875,195
-0.8595,110,2000,195
0,111,0,195
-0.1082,111,125,195
-0.1895,111,250,195
-0.2808,111,375,195
-0.3259,111,500,195
-0.3761,111,625,195
-0.4355,111,750,195
-0.5032,111,875,195
-0.5807,111,1000,195
-0.6534,111,1125,195
-0.6865,111,1250,195
-0.7294,111,1375,195
-0.773,111,1500,195
-0.8059,111,1625,195
-0.8318,111,1750,195
-0.8604,111,1875,195
-0.9178,111,2000,195
0,112,0,195
-0.06316,112,125,195
-0.1405,112,250,195
-0.17988,112,375,195
-0.29242,112,500,195
-0.34089,112,625,195
-0.41142,112,750,195
-0.48182,112,875,195
-0.51747,112,1000,195
-0.56419,112,1125,195
-0.63249,112,1250,195
-0.67518,112,1375,195
-0.71175,112,1500,195
-0.75338,112,1625,195
-0.78566,112,1750,195
-0.8224,112,1875,195
-0.83951,112,2000,195
0,113,0,195
-0.0709,113,125,195
-0.1763,113,250,195
-0.2293,113,375,195
-0.3817,113,500,195
-0.4351,113,625,195
-0.5144,113,750,195
-0.5753,113,875,195
-0.6887,113,1000,195
-0.7176,113,1125,195
-0.7612,113,1250,195
-0.8091,113,1375,195
-0.8342,113,1500,195
-0.8738,113,1625,195
-0.924,113,1750,195
-0.9574,113,1875,195
-0.9785,113,2000,195
0,114,0,195
-0.127,114,125,195
-0.2158,114,250,195
-0.3022,114,375,195
-0.3638,114,500,195
-0.4123,114,625,195
-0.4633,114,750,195
-0.5011,114,875,195
-0.5476,114,1000,195
-0.5806,114,1125,195
-0.6374,114,1250,195
-0.7319,114,1375,195
-0.7559,114,1500,195
-0.7686,114,1625,195
-0.8116,114,1750,195
-0.8528,114,1875,195
-0.8792,114,2000,195
0,115,0,195
-0.09407,115,125,195
-0.2116,115,250,195
-0.26705,115,375,195
