Unit,Time,Migration
1,0,10.1
2,0,10.8
3,0,11
4,0,10.2
5,0,10.8
6,0,10.5
7,0,10.4
8,0,10.8
9,0,12.3
10,0,12.4
11,0,12.1
12,0,11.6
1,10,18.9
2,10,21.4
3,10,20.5
4,10,22.5
5,10,21.2
6,10,19.1
7,10,23.2
8,10,23.8
9,10,21.8
10,10,20.4
11,10,20
12,10,22.7
1,20,34.4
2,20,34.6
3,20,36.9
4,20,30.8
5,20,38.1
6,20,33.2
7,20,32.3
8,20,34.7
9,20,35.3
10,20,35.1
11,20,36.8
12,20,30.3
1,30,49.2
2,30,50.3
3,30,44
4,30,46.1
5,30,45.7
6,30,44.4
7,30,46.2
8,30,52.7
9,30,51.3
10,30,44
11,30,46.9
12,30,46.7
1,40,56.9
2,40,61
3,40,63.4
4,40,60.5
5,40,57.2
6,40,51
7,40,58.9
8,40,56.9
9,40,53.8
10,40,53.7
11,40,62.9
12,40,54.1
1,50,67.5
2,50,66
3,50,71.5
4,50,63.3
5,50,64.1
6,50,61.1
7,50,75.2
8,50,65.6
9,50,65.8
10,50,60.5
11,50,71.4
12,50,64.6
