Unit Number,DegreesC,Current (mA),Hours,Relative Change
1,94,30,138,1
1,94,30,234,0.97036
1,94,30,330,0.94865
1,94,30,402,0.93463
1,94,30,498,0.90838
1,94,30,570,0.90082
1,94,30,666,0.88983
1,94,30,738,0.88118
1,94,30,834,0.86448
1,94,30,906,0.85516
2,94,30,138,1
2,94,30,234,0.97377
2,94,30,330,0.94448
2,94,30,402,0.93225
2,94,30,498,0.90609
2,94,30,570,0.89389
2,94,30,666,0.88135
2,94,30,738,0.87182
2,94,30,834,0.85708
2,94,30,906,0.84324
3,94,30,138,1
3,94,30,234,0.97496
3,94,30,330,0.94468
3,94,30,402,0.93399
3,94,30,498,0.91261
3,94,30,570,0.8975
3,94,30,666,0.88576
3,94,30,738,0.87519
3,94,30,834,0.86236
3,94,30,906,0.85106
4,94,30,138,1
4,94,30,234,0.97301
4,94,30,330,0.94771
4,94,30,402,0.93754
4,94,30,498,0.91718
4,94,30,570,0.90535
4,94,30,666,0.89126
4,94,30,738,0.88131
4,94,30,834,0.8698
4,94,30,906,0.86431
5,94,30,138,1
5,94,30,234,0.96819
5,94,30,330,0.94521
5,94,30,402,0.93427
5,94,30,498,0.91474
5,94,30,570,0.90623
5,94,30,666,0.89168
5,94,30,738,0.88165
5,94,30,834,0.86764
5,94,30,906,0.86226
6,94,30,138,1
6,94,30,234,0.95195
6,94,30,330,0.92986
6,94,30,402,0.91498
6,94,30,498,0.89701
6,94,30,570,0.88442
6,94,30,666,0.8748
6,94,30,738,0.85222
6,94,30,834,0.83794
6,94,30,906,0.83234
7,94,30,138,1
7,94,30,234,0.97115
7,94,30,330,0.94596
7,94,30,402,0.93318
7,94,30,498,0.91269
7,94,30,570,0.90044
7,94,30,666,0.89094
7,94,30,738,0.87846
7,94,30,834,0.86624
7,94,30,906,0.85597
8,94,30,138,1
8,94,30,234,0.96974
8,94,30,330,0.9396
8,94,30,402,0.92813
8,94,30,498,0.90851
8,94,30,570,0.89499
8,94,30,666,0.88097
8,94,30,738,0.87057
8,94,30,834,0.8595
8,94,30,906,0.84958
9,94,30,138,1
9,94,30,234,0.96876
9,94,30,330,0.94121
9,94,30,402,0.92903
9,94,30,498,0.90894
9,94,30,570,0.89901
9,94,30,666,0.88413
9,94,30,738,0.87381
9,94,30,834,0.86338
9,94,30,906,0.85449
10,94,30,138,1
10,94,30,234,0.96543
10,94,30,330,0.93889
10,94,30,402,0.92555
10,94,30,498,0.90391
10,94,30,570,0.89495
10,94,30,666,0.8805
10,94,30,738,0.86877
10,94,30,834,0.85563
10,94,30,906,0.84966
11,94,30,138,1
11,94,30,234,0.96875
11,94,30,330,0.9417
11,94,30,402,0.93009
11,94,30,498,0.90978
11,94,30,570,0.89961
11,94,30,666,0.88749
11,94,30,738,0.87552
11,94,30,834,0.86179
11,94,30,906,0.85217
12,94,30,138,1
12,94,30,234,0.97021
12,94,30,330,0.93725
12,94,30,402,0.92841
12,94,30,498,0.90807
12,94,30,570,0.89266
12,94,30,666,0.88595
12,94,30,738,0.8709
12,94,30,834,0.85707
12,94,30,906,0.84418
13,94,30,138,1
13,94,30,234,0.97573
13,94,30,330,0.94279
13,94,30,402,0.93577
13,94,30,498,0.91686
13,94,30,570,0.90142
13,94,30,666,0.88884
13,94,30,738,0.87822
13,94,30,834,0.86778
13,94,30,906,0.85387
14,94,30,138,1
14,94,30,234,0.97309
14,94,30,330,0.95067
14,94,30,402,0.94236
14,94,30,498,0.92455
14,94,30,570,0.91303
14,94,30,666,0.90001
14,94,30,738,0.89133
14,94,30,834,0.88597
14,94,30,906,0.87701
15,94,30,138,1
15,94,30,234,0.96354
15,94,30,330,0.9379
15,94,30,402,0.92426
15,94,30,498,0.90591
15,94,30,570,0.89645
15,94,30,666,0.88218
15,94,30,738,0.86974
15,94,30,834,0.85894
15,94,30,906,0.85211
16,94,30,138,1
16,94,30,234,0.9744
16,94,30,330,0.9458
16,94,30,402,0.93212
16,94,30,498,0.91438
16,94,30,570,0.90323
16,94,30,666,0.89263
16,94,30,738,0.87913
16,94,30,834,0.8623
16,94,30,906,0.85463
17,94,30,138,1
17,94,30,234,0.96814
17,94,30,330,0.93801
17,94,30,402,0.92819
17,94,30,498,0.90954
17,94,30,570,0.8967
17,94,30,666,0.88845
17,94,30,738,0.87772
17,94,30,834,0.86341
17,94,30,906,0.85331
18,94,30,138,1
18,94,30,234,0.96911
18,94,30,330,0.94173
18,94,30,402,0.93495
18,94,30,498,0.91651
18,94,30,570,0.90356
18,94,30,666,0.89179
18,94,30,738,0.86615
18,94,30,834,0.85847
18,94,30,906,0.84625
19,94,30,138,1
19,94,30,234,0.96407
19,94,30,330,0.93376
19,94,30,402,0.92483
19,94,30,498,0.91398
19,94,30,570,0.90081
19,94,30,666,0.88508
19,94,30,738,0.85735
19,94,30,834,0.86128
19,94,30,906,0.84851
20,94,30,138,1
20,94,30,234,0.96319
20,94,30,330,0.9359
20,94,30,402,0.92443
20,94,30,498,0.91038
20,94,30,570,0.90081
20,94,30,666,0.8875
20,94,30,738,0.8724
20,94,30,834,0.86334
20,94,30,906,0.85774
21,94,30,138,1
21,94,30,234,0.96669
21,94,30,330,0.95014
21,94,30,402,0.94679
21,94,30,498,0.93946
21,94,30,570,0.90549
21,94,30,666,0.91854
21,94,30,738,0.89668
21,94,30,834,0.89488
21,94,30,906,0.88654
22,94,30,138,1
22,94,30,234,0.97372
22,94,30,330,0.9461
22,94,30,402,0.9405
22,94,30,498,0.92599
22,94,30,570,0.91127
22,94,30,666,0.90334
22,94,30,738,0.88673
22,94,30,834,0.876
22,94,30,906,0.86516
23,94,30,138,1
23,94,30,234,0.9658
23,94,30,330,0.94255
23,94,30,402,0.93489
23,94,30,498,0.91705
23,94,30,570,0.90386
23,94,30,666,0.89021
23,94,30,738,0.87793
23,94,30,834,0.86983
23,94,30,906,0.85652
24,94,30,138,1
24,94,30,234,0.96586
24,94,30,330,0.94419
24,94,30,402,0.92859
24,94,30,498,0.90959
24,94,30,570,0.90117
24,94,30,666,0.88764
24,94,30,738,0.87061
24,94,30,834,0.86446
24,94,30,906,0.85266
25,94,30,138,1
25,94,30,234,0.96488
25,94,30,330,0.94062
25,94,30,402,0.92986
25,94,30,498,0.91024
25,94,30,570,0.90063
25,94,30,666,0.88606
25,94,30,738,0.87351
25,94,30,834,0.86412
25,94,30,906,0.85532
26,94,30,138,1
26,94,30,234,0.97057
26,94,30,330,0.93972
26,94,30,402,0.93501
26,94,30,498,0.91812
26,94,30,570,0.90615
26,94,30,666,0.89706
26,94,30,738,0.88809
26,94,30,834,0.87296
26,94,30,906,0.86705
27,94,30,138,1
27,94,30,234,0.97013
27,94,30,330,0.93968
27,94,30,402,0.93622
27,94,30,498,0.91973
27,94,30,570,0.90467
27,94,30,666,0.89414
27,94,30,738,0.88706
27,94,30,834,0.87437
27,94,30,906,0.86204
28,94,30,138,1
28,94,30,234,0.96689
28,94,30,330,0.94258
28,94,30,402,0.93489
28,94,30,498,0.91984
28,94,30,570,0.90416
28,94,30,666,0.89167
28,94,30,738,0.88208
28,94,30,834,0.87448
28,94,30,906,0.8613
29,94,30,138,1
29,94,30,234,0.96481
29,94,30,330,0.94177
29,94,30,402,0.92552
29,94,30,498,0.91011
29,94,30,570,0.90242
29,94,30,666,0.888
29,94,30,738,0.87375
29,94,30,834,0.86639
29,94,30,906,0.85623
30,94,30,138,1
30,94,30,234,0.97554
30,94,30,330,0.94727
30,94,30,402,0.93393
30,94,30,498,0.91636
30,94,30,570,0.89857
30,94,30,666,0.89264
30,94,30,738,0.87853
30,94,30,834,0.86648
30,94,30,906,0.85954
31,61,30,138,1
31,61,30,234,0.9844
31,61,30,330,0.97009
31,61,30,402,0.9601
31,61,30,498,0.94178
31,61,30,570,0.92786
31,61,30,666,0.92221
31,61,30,738,0.91587
31,61,30,834,0.90268
31,61,30,906,0.89735
32,61,30,138,1
32,61,30,234,0.98275
32,61,30,330,0.9575
32,61,30,402,0.9441
32,61,30,498,0.9271
32,61,30,570,0.91601
32,61,30,666,0.9072
32,61,30,738,0.89616
32,61,30,834,0.88618
32,61,30,906,0.87652
33,61,30,138,1
33,61,30,234,0.99123
33,61,30,330,0.96332
33,61,30,402,0.94767
33,61,30,498,0.9313
33,61,30,570,0.91629
33,61,30,666,0.90691
33,61,30,738,0.89954
33,61,30,834,0.88778
33,61,30,906,0.87559
34,61,30,138,1
34,61,30,234,0.98686
34,61,30,330,0.96227
34,61,30,402,0.94812
34,61,30,498,0.92882
34,61,30,570,0.91465
34,61,30,666,0.90335
34,61,30,738,0.89378
34,61,30,834,0.88204
34,61,30,906,0.87334
35,61,30,138,1
35,61,30,234,0.98554
35,61,30,330,0.96494
35,61,30,402,0.95141
35,61,30,498,0.93315
35,61,30,570,0.92254
35,61,30,666,0.90854
35,61,30,738,0.89915
35,61,30,834,0.88838
35,61,30,906,0.88411
36,61,30,138,1
36,61,30,234,0.96382
36,61,30,330,0.95639
36,61,30,402,0.94082
36,61,30,498,0.91708
36,61,30,570,0.91536
36,61,30,666,0.90153
36,61,30,738,0.88089
36,61,30,834,0.8726
36,61,30,906,0.87241
37,61,30,138,1
37,61,30,234,0.98766
37,61,30,330,0.9697
37,61,30,402,0.96002
37,61,30,498,0.95059
37,61,30,570,0.94377
37,61,30,666,0.93722
37,61,30,738,0.92591
37,61,30,834,0.91496
37,61,30,906,0.90643
38,61,30,138,1
38,61,30,234,0.99283
38,61,30,330,0.96708
38,61,30,402,0.95541
38,61,30,498,0.94227
38,61,30,570,0.92615
38,61,30,666,0.9195
38,61,30,738,0.91197
38,61,30,834,0.89987
38,61,30,906,0.88864
39,61,30,138,1
39,61,30,234,0.98453
39,61,30,330,0.96588
39,61,30,402,0.9482
39,61,30,498,0.93364
39,61,30,570,0.91866
39,61,30,666,0.90956
39,61,30,738,0.90221
39,61,30,834,0.89195
39,61,30,906,0.88409
40,61,30,138,1
40,61,30,234,0.98017
40,61,30,330,0.95819
40,61,30,402,0.9423
40,61,30,498,0.92292
40,61,30,570,0.911
40,61,30,666,0.89951
40,61,30,738,0.88982
40,61,30,834,0.8801
40,61,30,906,0.87608
41,61,30,138,1
41,61,30,234,0.98429
41,61,30,330,0.96392
41,61,30,402,0.94587
41,61,30,498,0.92742
41,61,30,570,0.91901
41,61,30,666,0.90674
41,61,30,738,0.89531
41,61,30,834,0.88506
41,61,30,906,0.87872
42,61,30,138,1
42,61,30,234,0.98103
42,61,30,330,0.95682
42,61,30,402,0.93626
42,61,30,498,0.92222
42,61,30,570,0.91429
42,61,30,666,0.9035
42,61,30,738,0.89015
42,61,30,834,0.88059
42,61,30,906,0.86952
43,61,30,138,1
43,61,30,234,0.98337
43,61,30,330,0.95593
43,61,30,402,0.9405
43,61,30,498,0.92485
43,61,30,570,0.91123
43,61,30,666,0.90274
43,61,30,738,0.88952
43,61,30,834,0.88153
43,61,30,906,0.86979
44,61,30,138,1
44,61,30,234,0.98724
44,61,30,330,0.96525
44,61,30,402,0.95037
44,61,30,498,0.93139
44,61,30,570,0.91537
44,61,30,666,0.90518
44,61,30,738,0.89603
44,61,30,834,0.8884
44,61,30,906,0.87921
45,61,30,138,1
45,61,30,234,0.98042
45,61,30,330,0.95859
45,61,30,402,0.94137
45,61,30,498,0.92296
45,61,30,570,0.91132
45,61,30,666,0.89944
45,61,30,738,0.88993
45,61,30,834,0.8805
45,61,30,906,0.87558
46,61,30,138,1
46,61,30,234,0.99142
46,61,30,330,0.97109
46,61,30,402,0.95671
46,61,30,498,0.9428
46,61,30,570,0.93234
46,61,30,666,0.92011
46,61,30,738,0.9101
46,61,30,834,0.89621
46,61,30,906,0.8909
47,61,30,138,1
47,61,30,234,0.98774
47,61,30,330,0.96734
47,61,30,402,0.95488
47,61,30,498,0.93896
47,61,30,570,0.92565
47,61,30,666,0.91744
47,61,30,738,0.90893
47,61,30,834,0.89588
47,61,30,906,0.88643
48,61,30,138,1
48,61,30,234,0.9948
48,61,30,330,0.97062
48,61,30,402,0.95761
48,61,30,498,0.94078
48,61,30,570,0.92447
48,61,30,666,0.91745
48,61,30,738,0.89174
48,61,30,834,0.8801
48,61,30,906,0.87023
49,61,30,138,1
49,61,30,234,0.98323
49,61,30,330,0.95575
49,61,30,402,0.94482
49,61,30,498,0.92895
49,61,30,570,0.91605
49,61,30,666,0.90369
49,61,30,738,0.87901
49,61,30,834,0.88298
49,61,30,906,0.87396
50,61,30,138,1
50,61,30,234,0.98651
50,61,30,330,0.9738
50,61,30,402,0.95915
50,61,30,498,0.94296
50,61,30,570,0.93269
50,61,30,666,0.9183
50,61,30,738,0.90281
50,61,30,834,0.8965
50,61,30,906,0.89405
51,61,30,138,1
51,61,30,234,0.9858
51,61,30,330,0.96844
51,61,30,402,0.95408
51,61,30,498,0.94176
51,61,30,570,0.91416
51,61,30,666,0.91368
51,61,30,738,0.89829
51,61,30,834,0.89766
51,61,30,906,0.88991
52,61,30,138,1
52,61,30,234,0.98923
52,61,30,330,0.96218
52,61,30,402,0.94662
52,61,30,498,0.93189
52,61,30,570,0.91414
52,61,30,666,0.90649
52,61,30,738,0.89622
52,61,30,834,0.88542
52,61,30,906,0.87603
53,61,30,138,1
53,61,30,234,0.99129
53,61,30,330,0.96315
53,61,30,402,0.94932
53,61,30,498,0.9347
53,61,30,570,0.91567
53,61,30,666,0.91292
53,61,30,738,0.90269
53,61,30,834,0.89243
53,61,30,906,0.88362
54,61,30,138,1
54,61,30,234,0.98821
54,61,30,330,0.96445
54,61,30,402,0.95251
54,61,30,498,0.9348
54,61,30,570,0.92434
54,61,30,666,0.91687
54,61,30,738,0.90483
54,61,30,834,0.89537
54,61,30,906,0.88911
55,61,30,138,1
55,61,30,234,0.98496
55,61,30,330,0.96966
55,61,30,402,0.95231
55,61,30,498,0.9349
55,61,30,570,0.92983
55,61,30,666,0.91498
55,61,30,738,0.90474
55,61,30,834,0.89819
55,61,30,906,0.89347
56,61,30,138,1
56,61,30,234,0.9823
56,61,30,330,0.95882
56,61,30,402,0.94107
56,61,30,498,0.92358
56,61,30,570,0.91338
56,61,30,666,0.90016
56,61,30,738,0.89161
56,61,30,834,0.88144
56,61,30,906,0.87453
57,61,30,138,1
57,61,30,234,0.99139
57,61,30,330,0.96619
57,61,30,402,0.95256
57,61,30,498,0.93767
57,61,30,570,0.92062
57,61,30,666,0.91249
57,61,30,738,0.90415
57,61,30,834,0.89326
57,61,30,906,0.88326
58,61,30,138,1
58,61,30,234,0.99598
58,61,30,330,0.97094
58,61,30,402,0.95688
58,61,30,498,0.93872
58,61,30,570,0.91754
58,61,30,666,0.9125
58,61,30,738,0.8996
58,61,30,834,0.8913
58,61,30,906,0.88176
59,61,30,138,1
59,61,30,234,0.98654
59,61,30,330,0.96151
59,61,30,402,0.94186
59,61,30,498,0.9218
59,61,30,570,0.90926
59,61,30,666,0.90059
59,61,30,738,0.88618
59,61,30,834,0.87751
59,61,30,906,0.86947
60,61,30,138,1
60,61,30,234,0.99982
60,61,30,330,0.96563
60,61,30,402,0.95063
60,61,30,498,0.93085
60,61,30,570,0.91336
60,61,30,666,0.90168
60,61,30,738,0.89379
60,61,30,834,0.8834
60,61,30,906,0.87399
61,110,40,138,1
61,110,40,234,0.96687
61,110,40,330,0.93812
61,110,40,402,0.92264
61,110,40,498,0.90227
61,110,40,570,0.88821
61,110,40,666,0.86667
61,110,40,738,0.8532
61,110,40,834,0.83027
61,110,40,906,0.81711
62,110,40,138,1
62,110,40,234,0.97202
62,110,40,330,0.94519
62,110,40,402,0.93115
62,110,40,498,0.91085
62,110,40,570,0.8985
62,110,40,666,0.87259
62,110,40,738,0.86254
62,110,40,834,0.8466
62,110,40,906,0.83409
63,110,40,138,1
63,110,40,234,0.96938
63,110,40,330,0.94192
63,110,40,402,0.92868
63,110,40,498,0.90731
63,110,40,570,0.89492
63,110,40,666,0.87183
63,110,40,738,0.8589
63,110,40,834,0.84718
63,110,40,906,0.83368
64,110,40,138,1
64,110,40,234,0.97011
64,110,40,330,0.94433
64,110,40,402,0.93452
64,110,40,498,0.91224
64,110,40,570,0.89832
64,110,40,666,0.87689
64,110,40,738,0.86234
64,110,40,834,0.84703
64,110,40,906,0.83196
65,110,40,138,1
65,110,40,234,0.97108
65,110,40,330,0.94167
65,110,40,402,0.93125
65,110,40,498,0.91249
65,110,40,570,0.89773
65,110,40,666,0.87861
65,110,40,738,0.86435
65,110,40,834,0.8478
65,110,40,906,0.83266
66,110,40,138,1
66,110,40,234,0.96658
66,110,40,330,0.94384
66,110,40,402,0.93029
66,110,40,498,0.90931
66,110,40,570,0.89139
66,110,40,666,0.86817
66,110,40,738,0.84276
66,110,40,834,0.83049
66,110,40,906,0.81849
67,110,40,138,1
67,110,40,234,0.96212
67,110,40,330,0.93689
67,110,40,402,0.92227
67,110,40,498,0.90187
67,110,40,570,0.88732
67,110,40,666,0.86712
67,110,40,738,0.85263
67,110,40,834,0.84113
67,110,40,906,0.83012
68,110,40,138,1
68,110,40,234,0.9641
68,110,40,330,0.9386
68,110,40,402,0.92717
68,110,40,498,0.90547
68,110,40,570,0.89142
68,110,40,666,0.87083
68,110,40,738,0.8568
68,110,40,834,0.84381
68,110,40,906,0.82814
69,110,40,138,1
69,110,40,234,0.97044
69,110,40,330,0.94484
69,110,40,402,0.93341
69,110,40,498,0.91176
69,110,40,570,0.89826
69,110,40,666,0.87801
69,110,40,738,0.86373
69,110,40,834,0.85016
69,110,40,906,0.83534
70,110,40,138,1
70,110,40,234,0.97449
70,110,40,330,0.94746
70,110,40,402,0.93419
70,110,40,498,0.91354
