Unit,JTemp,Current,Hours,RelativeChange
101,94,30,0,1
101,94,30,18,0.9969
101,94,30,42,1.0029
101,94,30,66,0.9977
101,94,30,138,0.9762
101,94,30,234,0.9473
101,94,30,330,0.9261
101,94,30,402,0.9124
101,94,30,498,0.8868
101,94,30,570,0.8794
101,94,30,666,0.8687
101,94,30,738,0.8602
101,94,30,834,0.8439
101,94,30,906,0.8348
102,94,30,0,1
102,94,30,18,0.9978
102,94,30,42,1.0031
102,94,30,66,0.9995
102,94,30,138,0.9777
102,94,30,234,0.9521
102,94,30,330,0.9234
102,94,30,402,0.9115
102,94,30,498,0.8859
102,94,30,570,0.874
102,94,30,666,0.8617
102,94,30,738,0.8524
102,94,30,834,0.838
102,94,30,906,0.8244
103,94,30,0,1
103,94,30,18,1.0015
103,94,30,42,1.0049
103,94,30,66,1.0003
103,94,30,138,0.973
103,94,30,234,0.9486
103,94,30,330,0.9191
103,94,30,402,0.9087
103,94,30,498,0.8879
103,94,30,570,0.8732
103,94,30,666,0.8618
103,94,30,738,0.8515
103,94,30,834,0.839
103,94,30,906,0.828
104,94,30,0,1
104,94,30,18,0.9898
104,94,30,42,0.9946
104,94,30,66,0.9916
104,94,30,138,0.9681
104,94,30,234,0.942
104,94,30,330,0.9175
104,94,30,402,0.9076
104,94,30,498,0.8879
104,94,30,570,0.8765
104,94,30,666,0.8628
104,94,30,738,0.8532
104,94,30,834,0.842
104,94,30,906,0.8367
105,94,30,0,1
105,94,30,18,0.9922
105,94,30,42,1.0027
105,94,30,66,1
105,94,30,138,0.9798
105,94,30,234,0.9486
105,94,30,330,0.9261
105,94,30,402,0.9154
105,94,30,498,0.8962
105,94,30,570,0.8879
105,94,30,666,0.8737
105,94,30,738,0.8638
105,94,30,834,0.8501
105,94,30,906,0.8448
106,94,30,0,1
106,94,30,18,0.9976
106,94,30,42,1.0079
106,94,30,66,1.0003
106,94,30,138,0.9774
106,94,30,234,0.9304
106,94,30,330,0.9088
106,94,30,402,0.8943
106,94,30,498,0.8767
106,94,30,570,0.8644
106,94,30,666,0.855
106,94,30,738,0.8329
106,94,30,834,0.819
106,94,30,906,0.8135
107,94,30,0,1
107,94,30,18,1.0022
107,94,30,42,1.0065
107,94,30,66,1.0052
107,94,30,138,0.9882
107,94,30,234,0.9597
107,94,30,330,0.9348
107,94,30,402,0.9222
107,94,30,498,0.902
107,94,30,570,0.8899
107,94,30,666,0.8805
107,94,30,738,0.8681
107,94,30,834,0.8561
107,94,30,906,0.8459
108,94,30,0,1
108,94,30,18,1.002
108,94,30,42,1.0062
108,94,30,66,1.0028
