Machine Number,Hours,Labor Cost (hours),Event
1,381,2.9,Action
1,723,2.9,Action
1,1039,3.1,Action
1,1113,5.1,Action
1,1394,3.1,Action
1,1765,2.8,Action
1,2117,2.7,Action
1,2137,1.2,Action
1,2474,2.8,Action
1,2499,3.5,Action
1,2546,2.3,Action
1,2839,2.9,Action
1,3148,2.9,Action
1,3223,17.7,Action
1,3500,3.1,Action
1,3851,3.1,Action
1,4218,3,Action
1,4543,3.1,Action
1,4853,3,Action
1,5178,3,Action
1,5441,3.7,Action
1,5521,2.8,Action
1,5886,2.9,Action
1,6218,3.3,Action
1,6506,7.2,Action
1,6542,3,Action
1,6860,2.5,Action
1,7173,3.3,Action
1,7401,2.8,Action
1,7471,1.2,Action
1,7547,2.8,Action
1,7884,3,Action
1,8054.7,0,End
2,372,2.4,Action
2,490,3.1,Action
2,697,3.1,Action
2,921,5,Action
2,1050,2.9,Action
2,1386,2.6,Action
2,1695,3,Action
2,2007,2.9,Action
2,2329,2.7,Action
2,2694,3.1,Action
2,2713,1.3,Action
2,3065,3.3,Action
2,3179,11.3,Action
2,3399,2.7,Action
2,3725,3.2,Action
2,4036,2.7,Action
2,4399,2,Action
2,4413,2.9,Action
2,4498,3.9,Action
2,4775,2.9,Action
2,5100,3.2,Action
2,5392,15.6,Action
2,5407,3.2,Action
2,5723,3.1,Action
2,6093,2.8,Action
2,6470,3.1,Action
2,6799,3,Action
2,7165,2.8,Action
2,7508,2.7,Action
2,7608,2.6,Action
2,7739,10,Action
2,7841,3,Action
2,7884,4.1,Action
2,8189,3.2,Action
2,8514,3.1,Action
2,8865,3.1,Action
2,9187,0,End
3,319,3,Action
3,714,2.7,Action
3,1017,2.9,Action
3,1353,2.5,Action
3,1698,3.1,Action
3,1857,5.1,Action
3,2059,3,Action
3,2451,3.1,Action
3,2808,3.1,Action
3,3094,10.7,Action
3,3112,3.3,Action
3,3336,5.6,Action
3,3448,2.7,Action
3,3836,2.7,Action
3,4190,3.1,Action
3,4566,2.8,Action
3,4874,2.2,Action
3,4905,2.7,Action
3,5243,3,Action
3,5450,15,Action
3,5590,2.8,Action
3,5973,3,Action
3,6343,3.1,Action
3,6482,4.4,Action
3,6668,2.8,Action
3,7002,2.6,Action
3,7328,3.4,Action
3,7657,3.5,Action
3,7714,2.9,Action
3,7768,4.3,Action
3,8049.3,0,End
4,384,2.9,Action
4,732,2.9,Action
4,1054,2.9,Action
4,1447,3.2,Action
4,1822,3.1,Action
4,2214,3,Action
4,2328,3.1,Action
4,2566,3.3,Action
4,2571,5.9,Action
4,2919,2.8,Action
4,3241,3.1,Action
4,3552,3,Action
4,3857,2.8,Action
4,4247,3.2,Action
4,4562,2.9,Action
4,4900,2.9,Action
4,5244,3.3,Action
4,5414,3.2,Action
4,5444,14.5,Action
4,5549,3.1,Action
4,5925,3,Action
4,6248,3.1,Action
4,6549,3.1,Action
4,6698,5.9,Action
4,6885,3,Action
4,7257,3.2,Action
4,7577,2.6,Action
4,7942,3.1,Action
4,8242,3,Action
4,8293,3.6,Action
4,8366,2.3,Action
4,8369.2,0,End
5,180,2.6,Action
5,332,2.8,Action
5,345,1.9,Action
5,532,3.2,Action
5,670,2.9,Action
5,692,1.7,Action
5,1035,3,Action
5,1432,3,Action
5,1795,2.9,Action
5,2153,3.1,Action
5,2458,2.9,Action
5,2762,2.9,Action
5,3039,18.6,Action
5,3053,6.2,Action
5,3081,2.7,Action
5,3479,2.7,Action
5,3837,3.2,Action
5,4220,3.1,Action
5,4585,3,Action
5,4948,3,Action
5,5280,2.8,Action
5,5293,3.5,Action
5,5318,14.1,Action
5,5662,3.2,Action
5,6011,2.6,Action
5,6105,3.3,Action
5,6327,3.1,Action
5,6681,3.1,Action
5,6986,2.8,Action
5,7339,2.9,Action
5,7648,2.9,Action
5,7978,3.3,Action
5,8026,7.9,Action
5,8375,2.6,Action
5,8435,2.8,Action
5,8748,2.8,Action
5,9055,4.7,Action
5,9125,3.1,Action
5,9249.5,0,End
6,132,1,Action
6,395,2.8,Action
6,699,2.8,Action
6,1082,3.1,Action
6,1361,2.9,Action
6,1480,2.9,Action
6,1791,2.9,Action
6,2109,2.9,Action
6,2290,8,Action
6,2462,2.9,Action
6,2825,2.6,Action
6,3130,2.7,Action
6,3450,3,Action
6,3783,3,Action
6,4126,3.3,Action
6,4348,5.1,Action
6,4416,2.6,Action
6,4512,2.6,Action
6,4685,14.2,Action
6,4888,2.5,Action
6,4947,1.2,Action
6,5244,2.7,Action
6,5589,2.9,Action
6,5945,1.2,Action
6,5971,3,Action
6,6001,2.1,Action
6,6218.5,0,End
7,52,4.5,Action
7,359,3,Action
7,516,5.6,Action
7,705,3,Action
7,1009,3.3,Action
7,1314,3.1,Action
7,1355,3.9,Action
7,1377,1.3,Action
7,1406,1.1,Action
7,1703,3.2,Action
7,1967,2.8,Action
7,2050,3,Action
7,2386,2.9,Action
7,2673,18.3,Action
7,2748,3.1,Action
7,3063,2.8,Action
7,3360,3.5,Action
7,3459,3,Action
7,3807,3.1,Action
7,3926,3.5,Action
7,4109,2.9,Action
7,4507,2.7,Action
7,4860,3.1,Action
7,5179,2.7,Action
7,5235,14.7,Action
7,5457,2.2,Action
7,5490,2.8,Action
7,5817,2.9,Action
7,5851,4.7,Action
7,6154,2.9,Action
7,6321.8,0,End
8,310,2.8,Action
8,638,2.9,Action
8,976,2.8,Action
8,1282,2.6,Action
8,1627,3.2,Action
8,1891,3.9,Action
8,2020,3.1,Action
8,2173,1.6,Action
8,2384,2.9,Action
8,2717,2.7,Action
8,3018,6.2,Action
8,3108,2.9,Action
8,3133,2.2,Action
8,3421,3.1,Action
8,3656,3.4,Action
8,3739,3.1,Action
8,4081,3.1,Action
8,4405,3.1,Action
8,4735,3.1,Action
8,5080,3.1,Action
8,5174,3.9,Action
8,5310,2.5,Action
8,5458,2.9,Action
8,5684,1.8,Action
8,5724,5.3,Action
8,5815,2.9,Action
8,5926,14.1,Action
8,6149,0,End
9,59,5.3,Action
9,378,3.1,Action
9,690,3.3,Action
9,907,2.3,Action
9,1072,2.8,Action
9,1152,1.8,Action
9,1372,3,Action
9,1685,2.8,Action
9,2034,3.2,Action
9,2411,3,Action
9,2505,8.5,Action
9,2785,2.7,Action
9,3133,2.9,Action
9,3470,2.7,Action
9,3860,3.4,Action
9,4090,1.1,Action
9,4257,2.8,Action
9,4576,2.9,Action
9,4685,2.8,Action
9,4924,3,Action
9,5249,2.7,Action
9,5533,1.7,Action
9,5619,3.1,Action
9,5714,14.3,Action
9,5948,2.7,Action
9,6308,2.7,Action
9,6658,3,Action
9,7029,2.8,Action
9,7183.3,0,End
10,388,3.2,Action
10,492,1.1,Action
10,744,2.8,Action
10,1108,2.4,Action
10,1419,3,Action
10,1427,3.7,Action
10,1783,3,Action
10,2108,2.8,Action
10,2457,2.8,Action
10,2724,8.3,Action
10,2764,2.9,Action
10,2897,2.6,Action
10,3107,3,Action
10,3435,2.7,Action
10,3824,2.8,Action
10,4152,3.2,Action
10,4538,3.2,Action
10,4868,3.1,Action
10,4934,4.2,Action
10,5176,2.9,Action
10,5399,4.7,Action
10,5498,2.9,Action
10,5873,3,Action
10,6201,2.8,Action
10,6481,1.4,Action
10,6543,2.8,Action
10,6897.9,0,End
11,382,2.9,Action
11,758,3.3,Action
11,903,1.7,Action
11,1139,2.9,Action
11,1505,3,Action
11,1520,2.9,Action
11,1841,3.1,Action
11,2152,2.9,Action
11,2472,3,Action
11,2819,4.8,Action
11,2827,3,Action
11,3198,3.1,Action
11,3574,2.8,Action
11,3889,2.9,Action
11,4205,3.6,Action
11,4285,2.7,Action
11,4334,1.6,Action
11,4624,3.1,Action
11,4933,2.9,Action
11,5263,1.4,Action
11,5282,2.9,Action
11,5394,11.5,Action
11,5678,2.7,Action
11,6033,3.1,Action
11,6163,5.3,Action
11,6430,2.9,Action
11,6793,3,Action
11,7158,3.2,Action
11,7539,3.1,Action
11,7581,0,End
12,383,3.3,Action
12,515,5.3,Action
12,764,3,Action
12,1132,3,Action
12,1495,2.7,Action
12,1848,3,Action
12,2163,2.8,Action
12,2486,3,Action
12,2828,2.7,Action
12,2982,9.1,Action
12,3051,5,Action
12,3075,1.2,Action
12,3199,3,Action
12,3350,5.5,Action
12,3583,3,Action
12,3934,2.8,Action
12,4315,3,Action
12,4484,0,End
13,340,2.9,Action
13,718,2.9,Action
13,1048,2.8,Action
13,1443,3,Action
