Time,Mode
1.151,Mode B
1.17,Mode B
1.248,Mode B
1.331,Mode B
1.381,Mode B
1.499,Mode A
1.508,Mode B
1.534,Mode B
1.577,Mode B
1.584,Mode B
1.667,Mode A
1.695,Mode A
1.71,Mode A
1.955,Mode B
1.965,Mode A
2.012,Mode B
2.051,Mode B
2.076,Mode B
2.109,Mode A
2.883,Censored
2.883,Censored
3.793,Censored
2.116,Mode B
2.119,Mode B
2.135,Mode A
2.197,Mode A
2.199,Mode B
2.227,Mode A
2.25,Mode B
2.254,Mode A
2.261,Mode B
2.349,Mode B
2.369,Mode A
2.547,Mode A
2.548,Mode A
2.738,Mode B
2.794,Mode A
2.91,Mode A
3.015,Mode A
3.017,Mode A
