HoursL,HoursU,Weight,Status,RH
14,18,1,4,82.4
18,22,1,4,82.4
30,34,8,4,82.4
42,46,3,4,82.4
46,50,3,4,82.4
50,54,3,4,82.4
58,62,4,4,82.4
62,66,1,4,82.4
66,70,5,4,82.4
70,74,2,4,82.4
74,78,2,4,82.4
78,82,1,4,82.4
82,86,4,4,82.4
86,90,8,4,82.4
90,94,4,4,82.4
94,98,5,4,82.4
98,102,5,4,82.4
106,110,1,4,82.4
110,114,2,4,82.4
114,118,1,4,82.4
122,126,1,4,82.4
130,134,1,4,82.4
134,138,1,4,82.4
138,142,1,4,82.4
142,146,2,4,82.4
15,19,1,4,75.4
19,23,1,4,75.4
23,27,6,4,75.4
27,31,1,4,75.4
31,35,2,4,75.4
35,39,5,4,75.4
39,43,1,4,75.4
43,47,1,4,75.4
47,51,3,4,75.4
51,55,1,4,75.4
59,63,2,4,75.4
63,67,1,4,75.4
95,99,2,4,75.4
107,111,1,4,75.4
111,115,2,4,75.4
115,119,2,4,75.4
119,123,2,4,75.4
123,127,1,4,75.4
127,131,4,4,75.4
131,135,1,4,75.4
135,139,1,4,75.4
139,143,1,4,75.4
147,151,1,4,75.4
151,155,2,4,75.4
155,159,1,4,75.4
159,163,1,4,75.4
171,175,3,4,75.4
175,179,4,4,75.4
179,183,2,4,75.4
183,187,1,4,75.4
187,191,1,4,75.4
191,195,1,4,75.4
195,199,1,4,75.4
215,219,1,4,75.4
239,243,1,4,75.4
243,247,1,4,75.4
247,251,1,4,75.4
255,259,1,4,75.4
259,263,1,4,75.4
263,267,1,4,75.4
295,299,1,4,75.4
319,323,1,4,75.4
363,367,1,4,75.4
112,116,1,4,62.8
128,132,1,4,62.8
136,140,1,4,62.8
148,152,1,4,62.8
173,177,1,4,62.8
185,189,1,4,62.8
189,193,1,4,62.8
201,205,1,4,62.8
237,241,1,4,62.8
261,265,1,4,62.8
269,273,1,4,62.8
281,285,1,4,62.8
285,289,2,4,62.8
289,293,2,4,62.8
297,301,1,4,62.8
301,305,1,4,62.8
317,321,1,4,62.8
321,325,1,4,62.8
337,341,3,4,62.8
341,345,1,4,62.8
353,357,1,4,62.8
361,365,1,4,62.8
365,369,1,4,62.8
385,389,1,4,62.8
397,401,1,4,62.8
401,405,1,4,62.8
461,465,1,4,62.8
481,485,1,4,62.8
533,537,1,4,62.8
537,541,2,4,62.8
561,565,1,4,62.8
565,569,1,4,62.8
569,573,1,4,62.8
637,641,1,4,62.8
688,692,2,4,62.8
760,764,2,4,62.8
796,800,1,4,62.8
916,920,1,4,62.8
940,944,1,4,62.8
964,968,1,4,62.8
1014,1026,1,4,62.8
1086,1098,1,4,62.8
1122,1134,1,4,62.8
1206,1218,1,4,62.8
1446,1458,1,4,62.8
1650,1662,1,4,62.8
1974,1986,1,4,62.8
2046,2058,1,4,62.8
2142,2154,1,4,62.8
3054,3066,1,4,62.8
3067,3067,11,2,62.8
166,170,1,4,49.5
429,433,1,4,49.5
457,461,1,4,49.5
545,549,1,4,49.5
561,565,1,4,49.5
573,577,1,4,49.5
601,605,1,4,49.5
704,708,1,4,49.5
812,816,1,4,49.5
872,876,1,4,49.5
920,924,1,4,49.5
1034,1046,1,4,49.5
1058,1070,3,4,49.5
1154,1166,1,4,49.5
1586,1598,1,4,49.5
2353,2365,1,4,49.5
2450,2462,1,4,49.5
2498,2510,1,4,49.5
3170,3182,1,4,49.5
3914,3926,1,4,49.5
4078,4078,48,2,49.5
