System ID,Failure Mode,Hours
E15,A,0
E28,A,0
E34,B,0
E25,B,3.32
E07,B,4.69
E13,C,4.69
E13,B,4.69
E18,A,4.69
E18,B,4.69
E27,C,4.69
E34,A,4.69
E23,B,4.88
E22,B,5.9
E12,B,5.97
E08,B,7.22
E09,A,7.22
E15,A,7.22
E36,B,7.46
E29,B,8.4
E27,C,8.75
E19,B,8.87
E02,A,9.57
E05,B,10.74
E14,B,11.17
E02,B,16.92
E17,B,16.92
E34,A,16.92
E08,B,17.27
E05,B,25.28
E28,B,31.92
E05,A,45.21
E02,B,46.86
E09,C,49.51
E14,C,62.45
E27,C,64.99
E34,B,66.75
E07,B,72.61
E29,B,81.99
E36,B,90.78
E08,B,91.53
E23,C,95.55
E28,B,96.06
E02,A,97.12
E22,A,97.12
E09,C,102.39
E20,A,104.46
E16,A,106.69
E03,B,108.06
E35,B,110.48
E18,B,110.64
E02,B,121.07
E08,A,121.07
E09,C,121.07
E24,C,121.07
E35,B,122.79
E29,A,122.99
E15,End,139.76
E02,B,140.54
E02,B,142.92
E13,C,146.44
E08,A,151.72
E02,B,154.65
E35,C,155.82
E06,A,161.84
E12,A,161.84
E27,A,161.84
E16,B,174.74
E01,A,178.25
E02,B,178.25
E03,A,178.25
E04,A,178.25
E09,A,178.25
E16,A,178.25
E17,A,178.25
E18,A,178.25
E18,A,178.25
E18,C,178.25
E20,A,178.25
E34,C,178.25
E34,C,178.25
E34,A,178.25
E34,B,178.25
E37,A,178.25
E38,A,178.25
E23,B,180.75
E10,B,183.69
E38,A,185.44
E19,B,186.93
E02,B,192.48
E02,B,192.48
E22,C,194.82
E36,A,195.61
E10,B,199.71
E04,B,200.53
E34,A,201.86
E18,A,206.55
E31,B,211.24
E02,A,213.62
E11,C,215.54
E04,B,232.74
E17,End,247.98
E23,A,249.93
E29,B,249.93
E02,B,251.1
E02,B,253.45
E04,A,277.33
E09,B,277.33
E19,B,277.33
E02,B,289.05
E35,A,289.05
E23,C,301.76
E35,A,305.08
E02,B,305.67
E09,B,306.25
E02,B,313.56
E10,B,314.46
E25,End,320.05
E11,End,320.96
E35,A,329.04
E06,A,330.48
E09,End,336.23
E23,End,344.95
E35,A,354.32
E35,End,357.07
E16,End,358.25
E27,End,367.27
E29,End,370.65
E18,End,371.4
E10,B,371.91
E04,End,371.94
E02,B,375.43
E10,B,376.6
E31,End,382.35
E05,A,383.64
E02,B,384.81
E02,B,385.59
E10,A,385.59
E02,B,390.28
E22,A,392
E02,B,392.63
E02,A,394.97
E34,End,398.02
E10,End,399.8
E12,End,402.61
E07,End,405.15
E02,B,407.48
E28,A,407.48
E28,End,410.19
E02,B,411.58
E01,End,412.18
E37,End,412.91
E19,End,413
E03,End,414.08
E14,End,414.53
E06,A,416.47
E06,End,417.6
E08,End,417.67
E20,End,418.75
E38,End,418.86
E13,End,419.22
E22,End,422.22
E36,End,425.95
E24,End,431.36
E05,End,438.05
E40,End,442.31
E02,End,489.64
