Unit ID,Days,Event
E251,761,End
E252,759,End
E327,98,Replacement
E327,667,End
E328,326,Replacement
E328,653,Replacement
E328,653,Replacement
E328,667,End
E329,665,End
E330,84,Replacement
E330,667,End
E331,87,Replacement
E331,663,End
E389,646,Replacement
E389,653,End
E390,92,Replacement
E390,653,End
E391,651,End
E392,258,Replacement
E392,328,Replacement
E392,377,Replacement
E392,621,Replacement
E392,650,End
E393,61,Replacement
E393,539,Replacement
E393,648,End
E394,254,Replacement
E394,276,Replacement
E394,298,Replacement
E394,640,Replacement
E394,644,End
E395,76,Replacement
E395,538,Replacement
E395,642,End
E396,635,Replacement
E396,641,End
E397,349,Replacement
E397,404,Replacement
E397,561,Replacement
E397,649,End
E398,631,End
E399,596,End
E400,120,Replacement
E400,479,Replacement
E400,614,End
E401,323,Replacement
E401,449,Replacement
E401,582,End
E402,139,Replacement
E402,139,Replacement
E402,589,End
E403,593,End
E404,573,Replacement
E404,589,End
E405,165,Replacement
E405,408,Replacement
E405,604,Replacement
E405,606,End
E406,249,Replacement
E406,594,End
E407,344,Replacement
E407,497,Replacement
E407,613,End
E408,265,Replacement
E408,586,Replacement
E408,595,End
E409,166,Replacement
E409,206,Replacement
E409,348,Replacement
E409,389,End
E410,601,End
E411,410,Replacement
E411,581,Replacement
E411,601,End
E412,611,End
E413,608,End
E414,587,End
E415,367,Replacement
E415,603,End
E416,202,Replacement
E416,563,Replacement
E416,570,Replacement
E416,585,End
E417,587,End
E418,578,End
E419,578,End
E420,586,End
E421,585,End
E422,582,End
